,cusip,date,bond_ret_truncated,bond_ret_ice,bond_ret_trace,true_bond_ret
159,37042GSG2,2008-12-31,1.0,,2.1167870108562497,2.1167870108562497
160,37042GSN7,2008-12-31,1.0,,2.2543880424463834,2.2543880424463834
161,37042GT30,2008-12-31,1.0,,2.215466374192365,2.215466374192365
162,37042GT48,2008-12-31,1.0,,2.1230948703149415,2.1230948703149415
163,37042GT97,2008-12-31,1.0,,1.229773056631809,1.229773056631809
164,37042GTA4,2008-12-31,1.0,,1.3331370503021263,1.3331370503021263
165,37042GTG1,2008-12-31,1.0,,1.7845337878865408,1.7845337878865408
166,37042GU20,2008-12-31,1.0,,2.2939510675727575,2.2939510675727575
167,37042GV52,2008-12-31,1.0,,1.2114494493661685,1.2114494493661685
168,37042GW28,2008-12-31,1.0,,2.0358872856399715,2.0358872856399715
169,37042GW36,2008-12-31,1.0,,1.0504443052783865,1.0504443052783865
170,37042GY59,2008-12-31,1.0,,1.723528150272847,1.723528150272847
171,37042GYP5,2008-12-31,1.0,,1.7776152502218467,1.7776152502218467
172,37042GYT7,2008-12-31,1.0,,2.0750718904677674,2.0750718904677674
173,37042GYU4,2008-12-31,1.0,,1.0548195792205148,1.0548195792205148
174,37042GZ25,2008-12-31,1.0,,1.5656158139554082,1.5656158139554082
175,37042GZ33,2008-12-31,1.0,,1.9034896593893376,1.9034896593893376
176,37042GZ82,2008-12-31,1.0,,1.88391871851348,1.88391871851348
177,37042GZE9,2008-12-31,1.0,,1.339270210217227,1.339270210217227
178,37042GZK5,2008-12-31,1.0,,1.8811955936467544,1.8811955936467544
179,37042WSY8,2008-12-31,1.0,,2.6312576530142495,2.6312576530142495
180,3704A0A36,2008-12-31,1.0,,1.4732759088464809,1.4732759088464809
181,3704A0AJ1,2008-12-31,1.0,,2.4359788858371765,2.4359788858371765
182,3704A0AQ5,2008-12-31,1.0,,1.099261801592043,1.099261801592043
183,3704A0AW2,2008-12-31,1.0,,1.644963875123797,1.644963875123797
184,3704A0BC5,2008-12-31,1.0,,2.4319023389373493,2.4319023389373493
185,3704A0BJ0,2008-12-31,1.0,,1.4175099045824555,1.4175099045824555
186,3704A0BY7,2008-12-31,1.0,,1.321478525547455,1.321478525547455
187,3704A0CE0,2008-12-31,1.0,,2.2953361189387724,2.2953361189387724
188,3704A0CM2,2008-12-31,1.0,,1.7354000998322523,1.7354000998322523
189,3704A0CN0,2008-12-31,1.0,,1.5971897564677922,1.5971897564677922
190,3704A0DB5,2008-12-31,1.0,,2.9158345098485876,2.9158345098485876
191,3704A0DR0,2008-12-31,1.0,,2.29278361926717,2.29278361926717
192,3704A0DS8,2008-12-31,1.0,,1.0501314601187899,1.0501314601187899
193,3704A0DY5,2008-12-31,1.0,,1.6409693068779998,1.6409693068779998
194,3704A0DZ2,2008-12-31,1.0,,1.3996657305204858,1.3996657305204858
195,3704A0EG3,2008-12-31,1.0,,2.0485472005067558,2.0485472005067558
196,3704A0EU2,2008-12-31,1.0,,1.3052609406115407,1.3052609406115407
197,3704A0FB3,2008-12-31,1.0,,1.3232144876425305,1.3232144876425305
198,3704A0FY3,2008-12-31,1.0,,1.3132756964022083,1.3132756964022083
199,3704A0GF3,2008-12-31,1.0,,1.0334456011091062,1.0334456011091062
200,3704A0GN6,2008-12-31,1.0,,2.379275385235293,2.379275385235293
201,3704A0GV8,2008-12-31,1.0,,1.1973528611439488,1.1973528611439488
202,3704A0HC9,2008-12-31,1.0,,1.5723326897188716,1.5723326897188716
203,3704A0HK1,2008-12-31,1.0,,2.209515805937638,2.209515805937638
204,3704A0HS4,2008-12-31,1.0,,1.340139431177482,1.340139431177482
205,3704A0HW5,2008-12-31,1.0,,1.4561136929667855,1.4561136929667855
206,3704A0HZ8,2008-12-31,1.0,,1.8231938549855304,1.8231938549855304
207,3704A0JD5,2008-12-31,1.0,,1.6818415742409492,1.6818415742409492
208,3704A0JG8,2008-12-31,1.0,,1.1833297041745965,1.1833297041745965
209,3704A0JP8,2008-12-31,1.0,,1.5185320426291036,1.5185320426291036
210,3704A0JT0,2008-12-31,1.0,,1.3787472213687728,1.3787472213687728
211,3704A0JW3,2008-12-31,1.0,,2.739048986245252,2.739048986245252
212,3704A0KD3,2008-12-31,1.0,,2.881000336084332,2.881000336084332
213,3704A0KL5,2008-12-31,1.0,,1.7123064230838902,1.7123064230838902
214,3704A0KQ4,2008-12-31,1.0,,1.2398341595413918,1.2398341595413918
215,3704A0KT8,2008-12-31,1.0,,2.177560496131863,2.177560496131863
216,3704A0LE0,2008-12-31,1.0,,1.5937776538672994,1.5937776538672994
217,3704A0LH3,2008-12-31,1.0,,1.8562968260988364,1.8562968260988364
218,3704A0LM2,2008-12-31,1.0,,1.9209351658390112,1.9209351658390112
219,3704A0MJ8,2008-12-31,1.0,,1.361612279270056,1.361612279270056
220,3704A0MM1,2008-12-31,1.0,,1.1181857061486329,1.1181857061486329
221,3704A0MR0,2008-12-31,1.0,,1.3885101315531876,1.3885101315531876
222,3704A0ND0,2008-12-31,1.0,,1.4888359296668887,1.4888359296668887
223,3704A0NL2,2008-12-31,1.0,,1.3884041916002863,1.3884041916002863
224,3704A0NT5,2008-12-31,1.0,,1.1396689144142782,1.1396689144142782
225,3704A0PA4,2008-12-31,1.0,,1.1244725546809755,1.1244725546809755
226,3704A0QA3,2008-12-31,1.0,,1.8705690017486223,1.8705690017486223
227,3704A0QE5,2008-12-31,1.0,,1.188439098384185,1.188439098384185
228,3704A0QH8,2008-12-31,1.0,,2.217504829456118,2.217504829456118
229,3704A0QM7,2008-12-31,1.0,,1.4231348311336935,1.4231348311336935
230,3704A0QQ8,2008-12-31,1.0,,2.3969688000498053,2.3969688000498053
231,3704A0RJ3,2008-12-31,1.0,,1.4433828112776281,1.4433828112776281
232,3704A0RM6,2008-12-31,1.0,,2.61454155860669,2.61454155860669
233,3704A0RR5,2008-12-31,1.0,,1.1688494822402942,1.1688494822402942
234,3704A0RY0,2008-12-31,1.0,,1.449903767555584,1.449903767555584
235,3704A0SB9,2008-12-31,1.0,,1.9339861441470991,1.9339861441470991
236,3704A0SJ2,2008-12-31,1.0,,1.5563117383401042,1.5563117383401042
237,3704A0SN3,2008-12-31,1.0,,1.1044427020961978,1.1044427020961978
238,3704A0SY9,2008-12-31,1.0,,1.4086834853837653,1.4086834853837653
239,3704A0TC6,2008-12-31,1.0,,1.1818729877136949,1.1818729877136949
240,3704A0TN2,2008-12-31,1.0,,2.3302840505766795,2.3302840505766795
241,3704A0TV4,2008-12-31,1.0,,1.5683833558186846,1.5683833558186846
242,3704A0UC4,2008-12-31,1.0,,1.4316644108744978,1.4316644108744978
243,3704A0UK6,2008-12-31,1.0,,2.5198856673631944,2.5198856673631944
244,3704A0VB5,2008-12-31,1.0,,1.3017728397944783,1.3017728397944783
245,3704A0VE9,2008-12-31,1.0,,1.157828911706159,1.157828911706159
246,3704A0VJ8,2008-12-31,1.0,,1.6196263452984894,1.6196263452984894
247,3704A0VP4,2008-12-31,1.0,,2.4450314899448555,2.4450314899448555
248,3704A0VS8,2008-12-31,1.0,,1.8278845968202,1.8278845968202
249,3704A0VZ2,2008-12-31,1.0,,1.8310768273368945,1.8310768273368945
250,3704A0WD0,2008-12-31,1.0,,1.898974292546777,1.898974292546777
251,3704A0XF4,2008-12-31,1.0,,1.266936888809589,1.266936888809589
252,3704A0XJ6,2008-12-31,1.0,,1.767924426574594,1.767924426574594
253,3704A0XN7,2008-12-31,1.0,,1.747001212835125,1.747001212835125
254,3704A0XR8,2008-12-31,1.0,,1.3067427133259508,1.3067427133259508
255,3704A0XV9,2008-12-31,1.0,,1.8367866137221907,1.8367866137221907
256,3704A0YC0,2008-12-31,1.0,,1.603501621526099,1.603501621526099
257,3704A0YF3,2008-12-31,1.0,,1.8628844029505536,1.8628844029505536
258,3704A0YK2,2008-12-31,1.0,,1.8570180042242026,1.8570180042242026
259,3704A0YS5,2008-12-31,1.0,,1.231411432564221,1.231411432564221
260,3704A0YW6,2008-12-31,1.0,,1.3873729493541542,1.3873729493541542
261,65332VBD4,2008-12-31,1.0,,1.5428867648036435,1.5428867648036435
262,001920AB3,2009-01-31,1.0,0.6574599999999999,1.104651710660961,0.6574599999999999
263,17313G431,2009-01-31,1.0,,8.871931710276822,8.871931710276822
264,184502AU6,2009-01-31,1.0,0.021400000000000002,1.062587121735421,0.021400000000000002
265,29444VAD6,2009-01-31,1.0,1.01925,1.1928703334619128,1.01925
266,37042FK31,2009-01-31,1.0,,1.3043885213571835,1.3043885213571835
267,37042GK47,2009-01-31,1.0,,1.898208424930108,1.898208424930108
268,37042GRD0,2009-01-31,1.0,,1.1266963320841594,1.1266963320841594
269,3704A0AC6,2009-01-31,1.0,,1.1297900044257332,1.1297900044257332
270,3704A0F31,2009-01-31,1.0,,1.5107227773658685,1.5107227773658685
271,3704A0LA8,2009-01-31,1.0,,1.5972105064254438,1.5972105064254438
272,3704A0PL0,2009-01-31,1.0,,1.4939671744162637,1.4939671744162637
273,64805EAA0,2009-01-31,1.0,,1.2002585592095154,1.2002585592095154
274,64806QAG9,2009-01-31,1.0,,1.7991500398413824,1.7991500398413824
275,721467AF5,2009-01-31,1.0,,1.8692234270399226,1.8692234270399226
276,78648C107,2009-01-31,1.0,,8.059590441896768,8.059590441896768
277,939322AY9,2009-01-31,1.0,,1.0921164002873112,1.0921164002873112
278,82966UAK9,2009-02-28,1.0,0.991,1.069035827453832,0.991
279,026351AU0,2009-03-31,1.0,,1.2365191835674978,1.2365191835674978
280,02639EDF8,2009-03-31,1.0,,1.070507877104389,1.070507877104389
281,06050XDY6,2009-03-31,1.0,,1.20751966090234,1.20751966090234
282,179584AF4,2009-03-31,1.0,,1.506588121882243,1.506588121882243
283,345370BS8,2009-03-31,1.0,0.95903,1.0004254763566294,0.95903
284,345370BV1,2009-03-31,1.0,0.7714300000000001,1.0757779471847948,0.7714300000000001
285,345370BZ2,2009-03-31,1.0,1.1376300000000001,1.0225562623800213,1.1376300000000001
286,413627AN0,2009-03-31,1.0,1.2229,1.0309769915886395,1.2229
287,413627AU4,2009-03-31,1.0,1.48101,1.7499999954078231,1.48101
288,413627AW0,2009-03-31,1.0,1.24814,1.2457690132663766,1.24814
289,413627AX8,2009-03-31,1.0,1.3825100000000001,1.6261077193059201,1.3825100000000001
290,45974EDU7,2009-03-31,1.0,,1.7428532986007146,1.7428532986007146
